open_time,open,high,low,close,volume
2026-05-27 06:32:00,75786.38,75786.38,75756.9,75756.9,0.06686
2026-05-27 06:33:00,75756.9,75769.01,75754.0,75769.01,0.17628
2026-05-27 06:34:00,75769.01,75769.01,75746.18,75746.18,0.05267
2026-05-27 06:35:00,75746.18,75755.87,75729.99,75730.0,0.66439
2026-05-27 06:36:00,75729.99,75780.01,75729.99,75780.01,2.07766
2026-05-27 06:37:00,75780.01,75802.79,75780.01,75802.79,0.12013
2026-05-27 06:38:00,75802.79,75802.79,75777.99,75781.15,0.14108
2026-05-27 06:39:00,75780.0,75780.0,75772.04,75772.04,0.06954
2026-05-27 06:40:00,75772.04,75783.89,75772.04,75783.88,0.03275
2026-05-27 06:41:00,75783.9,75800.01,75783.9,75800.01,0.0898
2026-05-27 06:42:00,75800.01,75810.0,75800.0,75810.0,0.04407
2026-05-27 06:43:00,75810.0,75810.0,75809.99,75809.99,0.01626
2026-05-27 06:44:00,75809.99,75816.01,75809.99,75816.01,0.04701
2026-05-27 06:45:00,75816.01,75828.15,75816.01,75828.15,0.13998
2026-05-27 06:46:00,75828.38,75868.42,75828.38,75868.41,1.03951
2026-05-27 06:47:00,75868.42,75871.59,75868.42,75871.59,0.03098
2026-05-27 06:48:00,75871.58,75871.59,75848.73,75848.73,2.44435
2026-05-27 06:49:00,75848.73,75856.65,75846.0,75856.64,0.39227
2026-05-27 06:50:00,75856.65,75860.0,75856.64,75860.0,0.08961
2026-05-27 06:51:00,75859.99,75868.43,75859.99,75868.43,0.07231
2026-05-27 06:52:00,75868.42,75900.0,75868.42,75896.44,0.27571
2026-05-27 06:53:00,75896.44,75900.0,75864.06,75864.06,1.71291
2026-05-27 06:54:00,75864.06,75864.06,75852.21,75855.99,0.14757
2026-05-27 06:55:00,75855.99,75872.2,75852.73,75852.73,0.47415
2026-05-27 06:56:00,75852.72,75852.73,75833.33,75833.33,0.04455
2026-05-27 06:57:00,75833.33,75833.33,75824.0,75824.0,0.15279
2026-05-27 06:58:00,75824.0,75824.0,75821.98,75823.99,0.06813
2026-05-27 06:59:00,75824.0,75836.01,75823.99,75836.01,0.13479
2026-05-27 07:00:00,75836.01,75844.62,75836.0,75839.61,0.457
2026-05-27 07:01:00,75837.14,75858.64,75837.14,75851.02,0.10891
2026-05-27 07:02:00,75851.01,75888.0,75851.01,75887.99,0.15849
2026-05-27 07:03:00,75887.99,75887.99,75876.0,75876.0,0.11892
2026-05-27 07:04:00,75876.01,75876.01,75860.0,75860.01,0.20411
2026-05-27 07:05:00,75860.01,75890.01,75838.0,75850.99,0.56833
2026-05-27 07:06:00,75851.0,75851.01,75834.11,75834.11,0.03384
2026-05-27 07:07:00,75834.0,75837.35,75814.85,75837.35,0.1217
2026-05-27 07:08:00,75837.35,75844.98,75837.35,75841.94,0.04756
2026-05-27 07:09:00,75841.93,75841.93,75821.98,75821.98,0.09507
2026-05-27 07:10:00,75820.66,75820.66,75772.83,75772.84,0.42432
2026-05-27 07:11:00,75772.83,75779.16,75771.3,75779.15,0.05158
2026-05-27 07:12:00,75779.68,75794.0,75779.68,75794.0,0.08118
2026-05-27 07:13:00,75794.01,75794.01,75783.98,75783.98,0.05345
2026-05-27 07:14:00,75783.98,75796.1,75780.48,75796.1,0.04902
2026-05-27 07:15:00,75796.1,75796.1,75767.55,75767.55,0.22021
2026-05-27 07:16:00,75766.01,75784.18,75766.0,75784.18,0.05783
2026-05-27 07:17:00,75784.18,75785.06,75782.75,75785.06,0.08636
2026-05-27 07:18:00,75785.99,75813.64,75785.99,75813.64,0.15528
2026-05-27 07:19:00,75813.64,75818.01,75813.33,75818.0,0.04738
2026-05-27 07:20:00,75818.01,75824.56,75818.0,75824.56,1.41338
2026-05-27 07:21:00,75824.56,75824.56,75813.38,75813.39,0.05761
2026-05-27 07:22:00,75813.38,75853.24,75804.0,75853.24,0.35535
2026-05-27 07:23:00,75853.25,75872.01,75853.24,75872.0,0.09626
2026-05-27 07:24:00,75872.01,75872.01,75867.44,75867.44,0.05001
2026-05-27 07:25:00,75867.45,75867.45,75850.49,75850.49,0.04748
2026-05-27 07:26:00,75850.49,75856.67,75850.49,75856.66,0.16507
2026-05-27 07:27:00,75856.66,75860.01,75856.66,75860.01,0.13776
2026-05-27 07:28:00,75860.0,75863.86,75860.0,75863.86,0.05145
2026-05-27 07:29:00,75863.86,75863.86,75863.84,75863.84,0.51525
2026-05-27 07:30:00,75863.84,75885.12,75863.84,75880.51,1.07174
2026-05-27 07:31:00,75880.51,75880.51,75866.48,75866.49,0.1663
2026-05-27 07:32:00,75866.48,75879.83,75866.48,75868.0,0.05948
2026-05-27 07:33:00,75867.99,75867.99,75858.23,75858.23,0.06499
2026-05-27 07:34:00,75858.24,75938.37,75858.23,75938.37,0.26385
2026-05-27 07:35:00,75938.37,75962.56,75938.36,75962.56,0.12626
2026-05-27 07:36:00,75962.56,75962.57,75954.4,75956.18,1.25321
2026-05-27 07:37:00,75956.18,75972.19,75956.18,75963.82,0.11099
2026-05-27 07:38:00,75962.7,75962.7,75930.0,75930.0,0.10034
2026-05-27 07:39:00,75930.0,75930.01,75896.7,75896.71,0.17295
2026-05-27 07:40:00,75896.71,75896.71,75892.91,75893.6,0.15162
2026-05-27 07:41:00,75894.12,75902.0,75880.0,75880.0,0.49516
2026-05-27 07:42:00,75880.0,75893.5,75879.8,75893.5,0.23703
2026-05-27 07:43:00,75893.49,75898.08,75893.49,75898.07,1.10414
2026-05-27 07:44:00,75898.07,75898.08,75884.22,75886.0,0.45156
2026-05-27 07:45:00,75886.01,75913.02,75886.0,75913.01,0.17379
2026-05-27 07:46:00,75913.02,75915.97,75912.0,75912.0,0.15079
2026-05-27 07:47:00,75912.0,75929.18,75912.0,75927.85,0.09434
2026-05-27 07:48:00,75927.66,75930.0,75913.33,75913.33,0.32931
2026-05-27 07:49:00,75912.01,75912.01,75894.74,75910.0,0.07058
2026-05-27 07:50:00,75909.99,75910.0,75890.68,75900.11,0.07337
2026-05-27 07:51:00,75901.91,75924.45,75901.91,75924.45,0.07985
2026-05-27 07:52:00,75924.45,75935.8,75924.45,75935.79,0.06208
2026-05-27 07:53:00,75935.8,75950.63,75934.11,75950.63,0.41821
2026-05-27 07:54:00,75950.64,75969.25,75950.64,75956.36,0.079
2026-05-27 07:55:00,75956.35,75972.01,75956.35,75960.01,0.07612
2026-05-27 07:56:00,75960.01,75969.91,75956.36,75956.37,0.06735
2026-05-27 07:57:00,75956.36,75967.03,75956.36,75967.03,0.08513
2026-05-27 07:58:00,75967.28,75973.72,75967.27,75973.72,0.1127
2026-05-27 07:59:00,75973.72,75980.0,75973.72,75980.0,0.06833
2026-05-27 08:00:00,75979.99,75980.0,75960.1,75960.11,1.16985
2026-05-27 08:01:00,75960.1,75994.26,75960.1,75994.26,0.08596
2026-05-27 08:02:00,75994.26,76008.9,75994.25,75995.0,0.08282
2026-05-27 08:03:00,75986.48,75990.01,75986.47,75990.0,0.05704
2026-05-27 08:04:00,75990.0,75990.5,75978.0,75990.49,0.07094
2026-05-27 08:05:00,75990.5,76004.6,75986.0,75986.0,0.45993
2026-05-27 08:06:00,75986.01,75986.01,75956.88,75956.89,0.45205
2026-05-27 08:07:00,75956.88,75956.88,75933.45,75933.46,0.10671
2026-05-27 08:08:00,75933.45,75933.46,75933.45,75933.45,0.06282
2026-05-27 08:09:00,75933.45,75933.46,75933.44,75933.44,0.02238
2026-05-27 08:10:00,75933.45,75944.57,75932.06,75944.57,0.15501
2026-05-27 08:11:00,75944.57,75944.57,75944.57,75944.57,0.0
